"filename", "language", "Makefile", "Markdown", "C++", "JSON with Comments", "HTML", "comment", "blank", "total"
"/home/mustermax/vscode_projects/TW_MAILER/Client/Parser/Parser.cpp", "C++", 0, 0, 138, 0, 0, 65, 52, 255
"/home/mustermax/vscode_projects/TW_MAILER/Client/Parser/headers/Parser.h", "C++", 0, 0, 36, 0, 0, 1, 5, 42
"/home/mustermax/vscode_projects/TW_MAILER/Client/client.cpp", "C++", 0, 0, 61, 0, 0, 0, 16, 77
"/home/mustermax/vscode_projects/TW_MAILER/Makefile", "Makefile", 12, 0, 0, 0, 0, 0, 5, 17
"/home/mustermax/vscode_projects/TW_MAILER/SendRequest.h", "C++", 0, 0, 21, 0, 0, 0, 6, 27
"/home/mustermax/vscode_projects/TW_MAILER/Server/server.cpp", "C++", 0, 0, 132, 0, 0, 5, 27, 164
"/home/mustermax/vscode_projects/TW_MAILER/TODO.html", "HTML", 0, 0, 0, 0, 257, 0, 20, 277
"/home/mustermax/vscode_projects/TW_MAILER/TODO.md", "Markdown", 0, 230, 0, 0, 0, 0, 68, 298
"/home/mustermax/vscode_projects/TW_MAILER/TW_MAILER.code-workspace", "JSON with Comments", 0, 0, 0, 66, 0, 0, 1, 67
"/home/mustermax/vscode_projects/TW_MAILER/main.cpp", "C++", 0, 0, 199, 0, 0, 39, 116, 354
"/home/mustermax/vscode_projects/TW_MAILER/src/ConnectionConfig.cpp", "C++", 0, 0, 46, 0, 0, 18, 19, 83
"/home/mustermax/vscode_projects/TW_MAILER/src/Controller.cpp", "C++", 0, 0, 136, 0, 0, 57, 46, 239
"/home/mustermax/vscode_projects/TW_MAILER/src/FileHandler.cpp", "C++", 0, 0, 20, 0, 0, 5, 7, 32
"/home/mustermax/vscode_projects/TW_MAILER/src/IFileHandler.cpp", "C++", 0, 0, 116, 0, 0, 59, 46, 221
"/home/mustermax/vscode_projects/TW_MAILER/src/IMessage.cpp", "C++", 0, 0, 31, 0, 0, 13, 5, 49
"/home/mustermax/vscode_projects/TW_MAILER/src/ISocketHandler.cpp", "C++", 0, 0, 60, 0, 0, 0, 14, 74
"/home/mustermax/vscode_projects/TW_MAILER/src/List.cpp", "C++", 0, 0, 16, 0, 0, 0, 6, 22
"/home/mustermax/vscode_projects/TW_MAILER/src/Message.cpp", "C++", 0, 0, 66, 0, 0, 14, 18, 98
"/home/mustermax/vscode_projects/TW_MAILER/src/MessageHandler.cpp", "C++", 0, 0, 78, 0, 0, 40, 33, 151
"/home/mustermax/vscode_projects/TW_MAILER/src/Request.cpp", "C++", 0, 0, 15, 0, 0, 7, 4, 26
"/home/mustermax/vscode_projects/TW_MAILER/src/Router.cpp", "C++", 0, 0, 33, 0, 0, 5, 6, 44
"/home/mustermax/vscode_projects/TW_MAILER/src/SocketClient.cpp", "C++", 0, 0, 59, 0, 0, 23, 25, 107
"/home/mustermax/vscode_projects/TW_MAILER/src/SocketServer.cpp", "C++", 0, 0, 155, 0, 0, 64, 66, 285
"/home/mustermax/vscode_projects/TW_MAILER/src/Utils.cpp", "C++", 0, 0, 27, 0, 0, 13, 9, 49
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Color.h", "C++", 0, 0, 35, 0, 0, 0, 5, 40
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Commands.h", "C++", 0, 0, 23, 0, 0, 7, 6, 36
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/ConnectionConfig.h", "C++", 0, 0, 26, 0, 0, 2, 6, 34
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Controller.h", "C++", 0, 0, 34, 0, 0, 0, 9, 43
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/FileHandler.h", "C++", 0, 0, 9, 0, 0, 1, 4, 14
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/IFileHandler.h", "C++", 0, 0, 31, 0, 0, 3, 5, 39
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/IItem.h", "C++", 0, 0, 11, 0, 0, 0, 3, 14
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/IMessage.h", "C++", 0, 0, 32, 0, 0, 0, 8, 40
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/IResponse.h", "C++", 0, 0, 14, 0, 0, 0, 4, 18
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/ISocketHandler.h", "C++", 0, 0, 30, 0, 0, 0, 5, 35
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/List.h", "C++", 0, 0, 20, 0, 0, 0, 5, 25
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Message.h", "C++", 0, 0, 17, 0, 0, 0, 6, 23
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/MessageHandler.h", "C++", 0, 0, 25, 0, 0, 7, 9, 41
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Request.h", "C++", 0, 0, 19, 0, 0, 0, 6, 25
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Router.h", "C++", 0, 0, 17, 0, 0, 0, 5, 22
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/SocketClient.h", "C++", 0, 0, 20, 0, 0, 0, 4, 24
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/SocketServer.h", "C++", 0, 0, 53, 0, 0, 2, 13, 68
"/home/mustermax/vscode_projects/TW_MAILER/src/headers/Utils.h", "C++", 0, 0, 16, 0, 0, 0, 5, 21
"/home/mustermax/vscode_projects/TW_MAILER/tests.h", "C++", 0, 0, 35, 0, 0, 0, 7, 42
"Total", "-", 12, 230, 1912, 66, 257, 450, 735, 3662